Dane pochodz± z serwisu Money.pl http://www.money.pl/
Tabela,Data,Kurs ¶redni [PLN],Zmiana [%]
"228/A/NBP/2016", "2016-11-25","4,1073","-0,40"
"227/A/NBP/2016", "2016-11-24","4,1236","+0,30"
"226/A/NBP/2016", "2016-11-23","4,1111","-0,10"
"225/A/NBP/2016", "2016-11-22","4,1152","-0,47"
"224/A/NBP/2016", "2016-11-21","4,1345","-0,56"
"223/A/NBP/2016", "2016-11-18","4,1578","+0,50"
"222/A/NBP/2016", "2016-11-17","4,1372","+0,25"
"221/A/NBP/2016", "2016-11-16","4,1268","+0,54"
"220/A/NBP/2016", "2016-11-15","4,1046","+0,12"
"219/A/NBP/2016", "2016-11-14","4,0998","+1,60"
"218/A/NBP/2016", "2016-11-10","4,0351","+0,47"
"217/A/NBP/2016", "2016-11-09","4,0164","+0,01"
"216/A/NBP/2016", "2016-11-08","4,0159","+0,32"
"215/A/NBP/2016", "2016-11-07","4,0029","+0,35"
"214/A/NBP/2016", "2016-11-04","3,9888","-0,45"
"213/A/NBP/2016", "2016-11-03","4,0067","+0,00"
"212/A/NBP/2016", "2016-11-02","4,0066","+0,28"
"211/A/NBP/2016", "2016-10-31","3,9953","+0,07"
"210/A/NBP/2016", "2016-10-28","3,9927","+0,00"
Liczba wierszy ograniczona do 50
