Dane pochodz± z serwisu Money.pl http://www.money.pl/
Tabela,Data,Kurs ¶redni [PLN],Zmiana [%]
"228/A/NBP/2016", "2016-11-25","4,4106","-0,35"
"227/A/NBP/2016", "2016-11-24","4,4261","+0,29"
"226/A/NBP/2016", "2016-11-23","4,4131","-0,15"
"225/A/NBP/2016", "2016-11-22","4,4199","-0,43"
"224/A/NBP/2016", "2016-11-21","4,4390","-0,21"
"223/A/NBP/2016", "2016-11-18","4,4484","+0,22"
"222/A/NBP/2016", "2016-11-17","4,4386","+0,09"
"221/A/NBP/2016", "2016-11-16","4,4345","+0,56"
"220/A/NBP/2016", "2016-11-15","4,4098","+0,47"
"219/A/NBP/2016", "2016-11-14","4,3892","+1,08"
"218/A/NBP/2016", "2016-11-10","4,3424","-0,07"
"217/A/NBP/2016", "2016-11-09","4,3455","+0,39"
"216/A/NBP/2016", "2016-11-08","4,3285","+0,00"
"215/A/NBP/2016", "2016-11-07","4,3283","+0,35"
"214/A/NBP/2016", "2016-11-04","4,3133","-0,24"
"213/A/NBP/2016", "2016-11-03","4,3238","+0,16"
"212/A/NBP/2016", "2016-11-02","4,3169","-0,23"
"211/A/NBP/2016", "2016-10-31","4,3267","-0,06"
"210/A/NBP/2016", "2016-10-28","4,3293","+0,00"
Liczba wierszy ograniczona do 50
