Dane pochodz± z serwisu Money.pl http://www.money.pl/
Tabela,Data,Kurs ¶redni [PLN],Zmiana [%]
"228/A/NBP/2016", "2016-11-25","4,1628","-0,60"
"227/A/NBP/2016", "2016-11-24","4,1880","+0,70"
"226/A/NBP/2016", "2016-11-23","4,1588","+0,20"
"225/A/NBP/2016", "2016-11-22","4,1507","-0,58"
"224/A/NBP/2016", "2016-11-21","4,1748","-0,52"
"223/A/NBP/2016", "2016-11-18","4,1968","+1,43"
"222/A/NBP/2016", "2016-11-17","4,1375","-0,01"
"221/A/NBP/2016", "2016-11-16","4,1380","+1,33"
"220/A/NBP/2016", "2016-11-15","4,0837","+0,08"
"219/A/NBP/2016", "2016-11-14","4,0805","+2,38"
"218/A/NBP/2016", "2016-11-10","3,9856","+1,40"
"217/A/NBP/2016", "2016-11-09","3,9305","+0,35"
"216/A/NBP/2016", "2016-11-08","3,9169","+0,09"
"215/A/NBP/2016", "2016-11-07","3,9132","+0,69"
"214/A/NBP/2016", "2016-11-04","3,8862","-0,26"
"213/A/NBP/2016", "2016-11-03","3,8965","+0,03"
"212/A/NBP/2016", "2016-11-02","3,8954","-1,35"
"211/A/NBP/2016", "2016-10-31","3,9488","-0,52"
"210/A/NBP/2016", "2016-10-28","3,9696","+0,00"
Liczba wierszy ograniczona do 50
